193   55  2
193   56  1
193   58  1
193   63  1
193   71  2
193   74  1
193   85  2
193   89  1
193   98  1
193   101  1
193   108  3
194   1  1
194   6  1
194   27  43
194   49  1
195   1  3
195   2  1
195   27  1
195   52  4
195   66  1
196   1  1
196   2  1
196   14  2
196   19  1
196   27  1
196   30  1
196   39  1
196   48  2
196   49  2
196   50  1
196   52  4
196   54  1
196   55  2
196   108  1
196   110  1
197   1  1
197   39  2
198   1  1
198   67  1
199   1  1
200   1  2
200   2  1
200   52  1
201   1  1
202   1  2
202   27  1
202   52  2
202   55  3
202   56  1
202   103  2
203   1  2
204   1  3
205   1  3
206   1  4
206   2  2
206   27  18
206   37  2
206   49  1
206   52  15
206   53  3
206   54  6
206   56  1
206   63  1
206   66  1
206   83  1
206   104  4
207   1  1
208   1  5
208   103  4
209   1  3
210   1  2
210   32  1
210   70  1
211   1  1
211   2  1
212   1  1
213   1  2
213   2  2
213   104  1
214   1  1
214   13  1
214   14  1
214   27  1
214   37  1
214   45  1
214   100  1
215   1  1
216   1  2
216   11  2
216   14  2
216   55  1
216   103  1
217   1  1
217   2  1
218   1  3
219   1  2
219   70  1
219   108  1
220   1  2
220   9  1
220   39  1
221   1  2
222   1  2
223   1  1
223   67  1
223   103  1
224   1  1
224   2  1
225   1  6
226   1  1
226   19  2
226   32  2
226   33  1
226   39  1
226   45  1
226   49  1
226   52  2
226   63  2
226   71  2
226   83  2
226   91  1
226   94  1
226   102  1
226   104  1
227   1  1
228   1  2
228   47  1
228   103  1
229   1  1
230   1  1
231   1  1
231   67  1
232   1  1
233   1  1
233   2  4
233   67  1
234   1  1
235   1  1
235   11  2
235   13  2
235   14  2
235   17  3
235   27  2
235   52  1
235   54  1
235   67  1
235   71  2
235   103  6
236   1  1
237   1  1
237   33  1
237   103  1
238   1  1
238   2  2
238   27  1
238   54  1
238   102  1
238   103  1
239   1  1
239   2  1
239   13  1
240   1  1
241   1  1
241   103  3
242   1  1
242   6  1
242   13  1
242   49  2
242   52  3
242   103  1
242   104  1
243   1  1
243   27  1
243   39  2
243   48  1
243   49  2
243   52  10
243   103  1
243   104  1
244   1  1
244   27  1
244   66  1
245   1  1
246   1  2
